Code,Assemblage,Weibull model curve,,,,,,Log-Linear model with tail,,,,,,
,,p/alpha,D,AIC,RMSE,MDK99 (min),MDK99(s),Yo,D,Tail,RMSE,AIC,MDK99 (min),MDK99(s)
T1,L,-,-,-,-,-,-,-,-,-,-,-,-,-
T6,L+P,0.46,0.26,16.62,0.96,1,69,6.845,0.895,0.85,0.799,13.653,2,107
T7,L+X,-,-,-,-,-,-,-,-,-,-,-,-,-
T8,L+M,-,-,-,-,-,-,-,-,-,-,-,-,-
T9,L+F,-,-,-,-,-,-,-,-,-,-,-,-,-
T10,L+P+X,0.41,0.16,18.34,1.07,1,52,6.92,0.784,0.835,0.948,16.387,2,94
T11,L+P+M,0.44,0.21,8.11,0.57,1,59,6.98,0.83,0.85,0.218,-7.146,2,100
T12,L+P+F,0.96,3.23,30.08,2.40,7,400,6.61,1.173,0.85,0.552,7.726,2,141
T13,L+X+M,-,-,-,-,-,-,-,-,-,-,-,-,-
T14,L+X+F,-,-,-,-,-,-,-,-,-,-,-,-,-
T15,L+M+F,-,-,-,-,-,-,-,-,-,-,-,-,-
T16,L+P+X+M,0.51,0.37,12.31,0.74,1,85,7,1.026,0.85,0.388,2.106,2,123
T17,L+P+X+F,0.58,0.60,9.67,0.62,2,119,6.72,1.907,0.85,0.616,9.478,4,229
T18,L+P+M+F,0.41,0.19,21.92,1.64,1,60,6.585,0.83,0.85,1.259,20.928,2,100
T19,L+X+M+F,0.03758,3.679E-20,-4.349,0.259,0,0,-,-,-,-,-,-,-
T20,L+P+X+M+F,0.50,0.35,14.75,0.86,1,83,6.89,1.003,0.85,0.616,9.483,2,120
